TimePeriod,Indicator,Subgroup,DataValue
2017,8.7.2: Number of Missing Children (similar to Indicator 16.2.3),Total,63349.0
2017,8.8.1: Number of accidents in factories,Total,5950.0
2017,8.9.2: Percentage change in number of visits by tourists (domestic and foreign) over previous years,Total,2.7
2017-18,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),89276933.0
2017-18,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,84.7
2017-18,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,22.61
2017-18,1.3.5: Proportion of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matritva Vandana Yojana (PMMVY),Total,91.66
2017-18,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,40450.0
2017-18,1.3.7: Number of beneficiaries added under Employee�s Pension Scheme (EPS) during the year,Total,22395518.0
2017-18,1.3.8: Coverage of New Pension Scheme (NPS),Total,11570930.0
2017-18,1.4.2: Number of telephone subscriptions as percentage of total population,Total,93.27
2017-18,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,29.7
2017-18,1.b.1: Proportion of budget earmarked under gender budget,Total,5.68
2017-18,10.4.1: Labour Share of GDP,Total,30.87
2017-18,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.92
2017-18,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,3.81
2017-18,"11.4.1: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage",Total,3.13
2017-18,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.12
2017-18,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.25
2017-18,"12.4.2: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",Hazardous waste generated,201.45
2017-18,"12.4.2: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",Hazardous waste treated,0.51
2017-18,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.14
2017-18,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,63.77
2017-18,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,5.311
2017-18,14.b.1: Assistance to the traditional / artisanal fishers for procurement of FRP boats and other associated fishing implements,Boats,285.0
2017-18,14.b.1: Assistance to the traditional / artisanal fishers for procurement of FRP boats and other associated fishing implements,Project cost,1012.5
2017-18,15.2.2: Total area covered under different Afforestation schemes,Total,1315012.0
2017-18,15.4.2: Percentage change in per capita income of Himalayan States over previous year,Total,15.08
2017-18,15.b.1: Percentage of government spending on environmental protection to total government expenditure,Total,0.06
2017-18,16.10.1: Percentage of RTI queries responded (similar to Indicator 16.6.2),Total,82.06
2017-18,16.6.1: Primary government expenditures as a proportion of original approved budget,Total,99.78
2017-18,16.6.2: Percentage of RTI queries responded (similar to 16.10.1),Total,82.06
2017-18,16.6.3: Number of Government services provided online to citizens.,Online Services,2724.0
2017-18,16.9.2: Proportion of population covered under Aadhaar,Total,88.5
2017-18,"17.1.1: Total government revenue as a proportion of GDP, by source",Total,8.4
2017-18,17.1.2: Proportion of domestic budget funded by domestic taxes,Total,71.65
2017-18,17.19.1: Budget allocated to different Ministries for strengthening statistics,Total,295147.0
2017-18,17.3.1: Foreign Direct Investment as proportion of Gross National Income.,Total,1.5
2017-18,17.3.2: Volume of remittances as a proportion of total GDP,Total,2.42
2017-18,17.4.1: Debt service as a proportion of exports of goods and services.,Total,8.9
2017-18,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Broadband ( >= 512 Kbps),1.366
2017-18,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Narrowband ( < 512 Kbps),0.25
2017-18,2.1.2: Proportion of beneficiaries covered under National Food Security Act 2013,Total,99.24
2017-18,2.3.1: Agriculture productivity of wheat and rice,Rice,2576.0
2017-18,2.3.1: Agriculture productivity of wheat and rice,Wheat,3368.0
2017-18,2.3.2: Gross Value Added in Agriculture per worker,Total,69936.0
2017-18,2.3.3: Ratio of institutional Credit to Agriculture to the Agriculture output,Total,0.57
2017-18,2.4.3: Percentage of net area under organic farming,Total,1.3929
2017-18,2.5.3: Conservation of fish genetic resource (in number),Total,2443.0
2017-18,2.a.1: The agriculture orientation index for government expenditures,Total,0.443
2017-18,2.a.2: Percentage share of expenditure in Intellectual Property Product (R&D) in agriculture to GVA in agriculture,Total,0.041
2017-18,2.c.1: Percentage of Agriculture Mandis enrolled in e-market,Total,3.1
2017-18,"3.3.1: Number of new HIV infections per 1,000 uninfected population",Total,0.06
2017-18,3.5.2: Number of persons treated in de-addiction centers,Total,100737.0
2017-18,3.8.2: Proportion of population with large household expenditures on health as a share of total household expenditure or income,Total > 10%,4.48
2017-18,3.8.2: Proportion of population with large household expenditures on health as a share of total household expenditure or income,Total > 25%,1.57
2017-18,3.8.3: Percentage of people living with HIV currently receiving ART among the detected number of adults and children living with HIV,Total,70.0
2017-18,3.b.2: Budgetary allocation for Department of Health Research,Total,1500.0
2017-18,3.c.2: Percentage of government spending (including current and capital expenditure) in health sector to GDP,Total,1.24
2017-18,"4.1.1: Percentage of students in grade 3, 5, 8 and 10 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades",Language (Class-3),90.29
2017-18,"4.1.1: Percentage of students in grade 3, 5, 8 and 10 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades",Language (Class-5),85.55
2017-18,"4.1.1: Percentage of students in grade 3, 5, 8 and 10 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades",Language (Class-8),82.82
2017-18,"4.1.1: Percentage of students in grade 3, 5, 8 and 10 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades",Maths (Class-3),88.69
2017-18,"4.1.1: Percentage of students in grade 3, 5, 8 and 10 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades",Maths (Class-5),79.81
2017-18,"4.1.1: Percentage of students in grade 3, 5, 8 and 10 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades",Maths (Class-8),60.93
2017-18,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 10,75.33
2017-18,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 5,96.85
2017-18,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 8,97.64
2017-18,4.1.3: Gross Enrolment Rate(GER) in higher secondary education,Total,48.13
2017-18,4.1.4: Net Enrolment Rate(NER) in primary and upper primary education,Primary,89.21
2017-18,4.1.4: Net Enrolment Rate(NER) in primary and upper primary education,Upper Primary,71.14
2017-18,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Primary,94.34
2017-18,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Secondary,59.36
2017-18,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Upper Primary,80.3
2017-18,4.1.6: Proportion of students enrolled in Grade 1 who reaches last grade or primary/upper primary/secondary levels,Total- Primary (I-V),86.58
2017-18,4.1.6: Proportion of students enrolled in Grade 1 who reaches last grade or primary/upper primary/secondary levels,Total- Secondary (IX-X),59.38
2017-18,4.1.6: Proportion of students enrolled in Grade 1 who reaches last grade or primary/upper primary/secondary levels,Total- Upper Primary (VI-VIII) ,71.41
2017-18,4.3.3: Gross enrolment ratio for tertiary education,Tertiary Education,25.8
2017-18,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Higher Secondary,1.02
2017-18,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Primary,1.02
2017-18,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Secondary,1.1
2017-18,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Tertiary Education,0.97
2017-18,4.5.2: Enrolment ratio of children with disabilities,Elementary,1.08
2017-18,4.5.2: Enrolment ratio of children with disabilities,Higher Secondary,0.31
2017-18,4.5.2: Enrolment ratio of children with disabilities,Primary,1.05
2017-18,4.5.2: Enrolment ratio of children with disabilities,Secondary,0.62
2017-18,4.5.2: Enrolment ratio of children with disabilities,Upper Primary,1.14
2017-18,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Adapted infrastructure and materials for students with disabilities/disabled friendly  Toilets,8.02
2017-18,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Adapted infrastructure and materials for students with disabilities/disabled friendly Ramp ,62.07
2017-18,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Basic drinking water,90.01
2017-18,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Basic hand washing facilities (as per the WASH indicator definitions),58.09
2017-18,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Computers for pedagogical purposes,31.25
2017-18,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Electricity,63.06
2017-18,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Single-sex basic sanitation facilities (Boys),94.03
2017-18,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Single-sex basic sanitation facilities (Girls),96.12
2017-18,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Higher Secondary,87.24
2017-18,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Primary,68.31
2017-18,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Secondary,80.42
2017-18,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Upper Primary,65.72
2017-18,"5.5.2: Proportion of women in managerial positions including women in Board of Director, in listed companies, (per 1,000 persons)",Total,184.0
2017-18,"5.a.5: Exclusive women SHGs in Bank linked SHGs, (in percentage)",Total,91.77
2017-18,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),Central Ministries,57.0
2017-18,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),States/UT,23.0
2017-18,6.1.1: Percentage of Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),Rural,37.85
2017-18,6.1.2: Percentage of population using an improved drinking water source (Rural),Rural,95.23
2017-18,6.2.1: Proportion of households having access to toilet facility (Urban and Rural),Rural,80.51
2017-18,6.2.2: Percentage of Districts achieving Open Defecation Free (ODF) target,Total,51.5
2017-18,"6.2.3: Proportion of schools with separate toilet facility for girls,(in percentage)",Total,96.12
2017-18,"6.4.2: Per capita storage of water, (in m3/person)",Total,196.93
2017-18,7.1.2: Percentage of households using clean cooking fuel,Total,82.49
2017-18,7.2.1: Renewable energy share in the total installed electricity generation,Total,17.7
2017-18,"7.3.1: Energy intensity measured in terms of primary energy and GDP, (in mega joules per rupee)",Total,0.1814
2017-18,8.1.1: Annual growth rate of GDP (adjusted to price changes) per capita,Total,5.6
2017-18,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",ATMs,16.9
2017-18,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",Banking Outlets,60.9
2017-18,"8.10.2: Number of accounts (include deposit and credit accounts) of scheduled commercial banks per 1,000 population",Total,1605.0
2017-18,"8.2.2: Total number of patents issued (granted), (similar to Indicator 8.3.2 and 9.5.3) )",Total,13045.0
2017-18,8.2.3: Annual growth in manufacturing sector,Manufacturing,7.5
2017-18,8.2.4: Annual growth in agriculture sector,"Agriculture, forestry and fishing",6.6
2017-18,8.3.1: Percentage of workers in informal sector among total workers engaged in non - agriculture sector,Total Person,68.2
2017-18,"8.3.2: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 9.5.3) )",Total,13045.0
2017-18,8.3.3: Outstanding Credit to MSME,Total,1324239.34
2017-18,8.3.4: Number of MSME units registered under the online Udyog Aadhaar registration,Total,1517617.0
2017-18,8.4.1: Proportion of waste recycled vs. waste generated,Total,0.51
2017-18,"8.4.2: Per capita fossil fuel consumption, (in Kg.)",Total,149.7
2017-18,"8.5.1: Average hourly earnings of employees, by sex, age, occupation",Total Person,50.0
2017-18,8.5.2: Unemployment rate,Total Person,6.1
2017-18,8.8.3: Percentage of households receiving social protection benefits under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,39.88
2017-18,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Growth Rate,10.72
2017-18,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Total share in GDP (in %),2.61
2017-18,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Cargo,0.7
2017-18,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Passengers,123.32
2017-18,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Cargo,0.37
2017-18,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Passengers,23.8
2017-18,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Freight,693281.0
2017-18,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Passengers,8286.0
2017-18,9.1.3: Gross Capital Formation by industry of use,Constant Prices,4289515.0
2017-18,9.1.3: Gross Capital Formation by industry of use,Current Prices,5053181.0
2017-18,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At constant price,16.81
2017-18,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At current price,15.02
2017-18,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,Per capita,1681.45
2017-18,9.2.2: Manufacturing employment as a proportion of total employment,Total Person,12.13
2017-18,9.2.3: Percentage Share of GVA in Manufacturing to Total GVA,GVA,16.6
2017-18,"9.3.1: Share of household sector in total industry value added, (in percentage)",Total,44.07
2017-18,"9.3.2: Percentage of credit flow MSME (as a percentage of Total Adjusted Net Bank Credit), (in percentage)",Total,16.84
2017-18,9.4.1: Total CO2 emissions of power sector per unit of GDP(in Tonne/Rupees Crore),Total,53.94
2017-18,"9.4.2: Energy use intensity of manufacturing value added, (Tonne of Oil Equivalent /000� rupees)",Total,0.0088
2017-18,9.5.1: Research and development expenditure as a proportion of GDP,Total,3.29
2017-18,9.5.2: Researchers (in full time equivalent) per million population,Total,255.0
2017-18,"9.5.3: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 8.3.2) )",Total,13045.0
2017-18,"9.b.1: Share of IPP in total Gross Fixed Capital Formation, (in percentage)",Total,11.69
2017-18,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Constant Prices,4.76
2017-18,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Current Prices,4.26
2017-18,9.c.1: Number of Internet Subscription as percentage of total population,Total,38.02
2017-18,"9.c.2: No. of Broadband Subscribers per 10,000 persons",Total,3176.0
2017-19,14.2.1: Percentage change in area under mangroves (similar to Indicator 14.5.2),Total,1.1
2017-19,14.5.2: Percentage change in area under mangroves (similar to Indicator 14.2.1),Total,1.1
2017-19,15.2.1: Percentage change in Forest cover,Total,0.56
2017-19,15.4.1: Percentage change in forest cover in hill districts,Total,0.19
2017-19,2.4.2: Percentage of farmers issued Soil Health Card,Total,94.21
2018,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 13.1.1)",Total,10738.97
2018,"1.5.3: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 11.b.1 and 13.1.2",Total,0.93
2018,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with na-tional disaster risk reduction strategies (similar to 11.b.2 and 13.1.3),Total,0.932
2018,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Rajya Sabha,11.48
2018,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,2.14
2018,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.54
2018,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,33.74
2018,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,34.93
2018,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 1.5.1 and 13.1.1)",Total,10738.97
2018,11.6.1: Percentage of Waste processed,Total,28.57
2018,11.6.4: Percentage of wards with 100% door to door waste collection,Total,74.0
2018,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,34.93
2018,"11.b.1: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 13.1.2)",Total,0.93
2018,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to  1.5.4 and 13.1.3),Total,0.932
2018,12.3.1: Per capita food availability,Food Grains,180.1
2018,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,87.6
2018,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 1.5.1 )",Total,10738.97
2018,"13.1.2: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 11.b.1)",Total,0.93
2018,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to 11.b.2 and 1.5.4),Total,0.932
2018,15.1.2: Protected area as percentage of total geographical area,Total,5.17
2018,15.1.3: Area of Ramsar sites as a percentage to the total wetland area,Total,4.15
2018,"15.7.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.c.1)",Total,207.0
2018,"15.c.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.7.1)",Total,207.0
2018,"16.1.1: Number of victims of intentional homicide per 1,00,000 population.",Total,2.28
2018,"16.1.2: Per 1,00,000 Population subjected to physical, psychological or sexual violence in the previous 12 months",Total,96.89
2018,"16.2.1: Proportion of Crime Committed against Children during the year, (rate per 1,00,000 children)",Total,33.74
2018,"16.2.2: Number of victims rescued from human trafficking per 1,00,000 population, by sex, age and form of exploitation",Total,0.41
2018,16.2.3: Number of Missing Children (similar to Indicator 8.7.2 ),Total,67134.0
2018,16.3.1: Number of courts per lakh population,Courts,1.79
2018,16.3.2: Unsentenced detainees as a proportion of overall prison population,Undertrials,69.4
2018,16.3.3: Number of Judges (all levels) per lakh population,Judges,1.37
2018,16.4.1: Number of cases under the Arms Act,Arms Cases,66305.0
2018,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Percentage Recovery of Stolen Property,35.1
2018,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Recovered,1827.7
2018,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Stolen,5211.9
2018,"16.5.1: Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",Total,0.31
2018,"16.7.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 10.2.2)",Rajya Sabha,11.48
2018,16.9.1: Percentage of births registered,Total,89.3
2018,17.11.1: Share of India�s exports in Global exports,Commercial Services Exports,3.43
2018,17.11.1: Share of India�s exports in Global exports,Merchandise Exports,1.67
2018,17.19.2: Proportion of States/UTs that have achieved 100 per cent birth registration and 80 per cent death registration,Birth,36.1
2018,17.19.2: Proportion of States/UTs that have achieved 100 per cent birth registration and 80 per cent death registration,Death,61.1
2018,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Animal,19421.0
2018,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Plant,454941.0
2018,3.2.1: Under-five Mortality Rate,Total Person,36.0
2018,3.2.2: Neonatal Mortality Rate,Total,23.0
2018,"3.3.2: Tuberculosis incidence per 1,00,000 population",Total,199.0
2018,"3.3.3: Malaria incidence per 1,000 population",Total,0.32
2018,3.3.5: Dengue: Case Fatality Ratio (CFR),Total,0.17
2018,"3.3.7: Percentage of blocks reporting < 1 Kala Azar case per 10,000 population out of the total endemic blocks",Total,91.63
2018,3.3.8: Percentage of districts reporting < 1% Microfilaria rate (MF) out of Targeted Endemic districts,Total,37.11
2018,"3.4.2. Suicide mortality rate (per 1,00,000 population)",Total,10.2
2018,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Death Rate,11.54
2018,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Injury Rate,33.74
2018,"3.7.2: Adolescent birth rate (aged 15�19 years) per 1,000 women in that age group",Total,12.2
2018,"3.8.8: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.c.1)",Total,31.27
2018,3.9.3: Mortality rate attributed to unintentional poisoning,Total,1.64
2018,"3.c.1: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.8.8)",Total,31.27
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C1 Legislation and Financing,80.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C10 Risk Communication,80.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C11 Points of Entry,80.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C12 Chemical Events,80.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C13 Radiation Emergencies,100.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C2 IHR Coordination and National IHR Focal Point Functions,90.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C3 Zoonotic Events and the Human�animal Interface,60.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C4 Food Safety,60.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C5 Laboratory,47.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C6 Surveillance,100.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C7 Human Resources,100.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C8 National Health Emergency Framework,67.0
2018,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C9 Health Service Provision,33.0
2018,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Employment and economic benefits,87.5
2018,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Marriage and family,100.0
2018,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Overarching legal frameworks and public life,76.9
2018,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Violence against women,92.3
2018,5.1.2: Per lakh women that have been subjected to dowry offences during the year,Total,3.19
2018,"5.1.4: Rate of Crimes Against Women Per 1,00,000 Female Population",Female,58.78
2018,5.2.1: Proportion of crime against women to total crime reported in the country during the calendar year,Total,7.45
2018,5.2.2: Per lakh women who have experienced sexual crimes during the calendar year,Total,27.7
2018,5.2.3: Per lakh women who have experienced cruelty/physical violence by husband or his relatives during the year,Total,16.28
2018,5.2.4: Proportion of sexual crime against girl children to total crime against children during the calendar year,Total,49.94
2018,5.2.5: Proportion of trafficking of girl children to total children trafficked during the calendar year,Total,38.46
2018,"5.3.2: Proportion of cases reported under the Prohibition of Child Marriage Act (early marriage of children below 18 years of age) to total crime against children, (in percentage)",Total,0.35
2018,"5.5.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 10.2.2 and 16.7.1)",Rajya Sabha,11.48
2018,6.3.2: Proportion of water bodies with good ambient water quality,Total,88.0
2018,7.b.1: Installed renewable energy generating capacity in the country(in watts per capita) (similar to 12.a.1),Total,87.6
2018,8.3.5: Number of start-ups recognized under Start-up India,Total,8932.0
2018,"8.7.1: Human trafficking cases per 10,00,000 population.",Total,1.72
2018,8.7.2: Number of Missing Children (similar to Indicator 16.2.3),Total,67134.0
2018,8.8.1: Number of accidents in factories,Total,5476.0
2018,8.9.2: Percentage change in number of visits by tourists (domestic and foreign) over previous years,Total,11.8
2018-19,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),87560671.0
2018-19,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,85.2
2018-19,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,26.98
2018-19,1.3.5: Proportion of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matritva Vandana Yojana (PMMVY),Total,92.17
2018-19,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,34920.0
2018-19,1.3.7: Number of beneficiaries added under Employee�s Pension Scheme (EPS) during the year,Total,23423696.0
2018-19,1.3.8: Coverage of New Pension Scheme (NPS),Total,12399659.0
2018-19,1.4.2: Number of telephone subscriptions as percentage of total population,Total,90.1
2018-19,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,30.23
2018-19,1.b.1: Proportion of budget earmarked under gender budget,Total,4.99
2018-19,10.4.1: Labour Share of GDP,Total,31.27
2018-19,10.4.2: Percentage of budget allocated to North Eastern States,Total,2.03
2018-19,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,3.94
2018-19,"11.4.1: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage",Total,3.05
2018-19,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.14
